
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,30.2
북춘천(93),127.75443,37.94738,123.9
철원(95),127.3042,38.14787,198
동두천(98),127.0607,37.90188,203.4
파주(99),126.76648,37.88589,159.7
대관령(100),128.71834,37.67713,74.2
춘천(101),127.7357,37.90262,121.4
백령도(102),124.71237,37.97396,101.7
북강릉(104),128.85535,37.80456,17
강릉(105),128.89099,37.75147,18.6
동해(106),129.12433,37.50709,17.7
서울(108),126.9658,37.57142,98.1
인천(112),126.6249,37.47772,147.9
원주(114),127.94659,37.33749,139.2
울릉도(115),130.89863,37.48129,162.2
수원(119),126.983,37.25746,78.2
영월(121),128.45743,37.18126,138.6
충주(127),127.9525,36.97045,146.9
서산(129),126.4939,36.77658,99.9
울진(130),129.41278,36.99176,56.4
청주(131),127.44066,36.63924,209.6
대전(133),127.3721,36.37199,300.1
추풍령(135),127.99458,36.22025,252.9
안동(136),128.70733,36.57293,148.6
상주(137),128.15741,36.40837,237
포항(138),129.38002,36.03201,149.5
군산(140),126.76135,36.0053,303
대구(143),128.65296,35.87797,163.7
전주(146),127.11718,35.84092,320.6
울산(152),129.33469,35.58237,163.1
